city,province,date,year,month,fuel_price,units
Saskatoon,Saskatchewan,2016-09-01,2016,9,97.3,Cents per litre
Edmonton,Alberta,2016-09-01,2016,9,87.6,Cents per litre
Calgary,Alberta,2016-09-01,2016,9,92.7,Cents per litre
Vancouver,British Columbia,2016-09-01,2016,9,125.6,Cents per litre
Victoria,British Columbia,2016-09-01,2016,9,118.3,Cents per litre
Whitehorse,Yukon,2016-09-01,2016,9,115.9,Cents per litre
Yellowknife,Northwest Territories,2016-09-01,2016,9,116.5,Cents per litre
St. John's,Newfoundland and Labrador,2016-10-01,2016,10,130.7,Cents per litre
Charlottetown and Summerside,Prince Edward Island,2016-10-01,2016,10,105.6,Cents per litre
Halifax,Nova Scotia,2016-10-01,2016,10,105.3,Cents per litre
Saint John,New Brunswick,2016-10-01,2016,10,104.8,Cents per litre
Québec,Quebec,2016-10-01,2016,10,106.1,Cents per litre
Montréal,Quebec,2016-10-01,2016,10,115.8,Cents per litre
Ottawa-Gatineau,Ontario,2016-10-01,2016,10,103.7,Cents per litre
Toronto,Ontario,2016-10-01,2016,10,105.4,Cents per litre
Thunder Bay,Ontario,2016-10-01,2016,10,108.2,Cents per litre
Winnipeg,Manitoba,2016-10-01,2016,10,99.2,Cents per litre
Regina,Saskatchewan,2016-10-01,2016,10,97.1,Cents per litre
